1961	1.1	0.4	6.7	18.33	17.9	21.6	23.81	22.91	99	99	99	99	99
1962	99	99	99	99	99	99	99	99	99	99	99	99	99
1963	99	99	99	12.7	16.5	24.2	25.3	24	19.7	14.6	6.3	1.6	99
1964	-10.63	-3.6	6.7	11.83	16.7	99	24.1	24	19.4	12	5	-0.9	99
1965	-0.2	0.5	6.9	9.8	16.1	21.3	23.41	22.4	18.4	14.9	7.2	-1.7	11.6
1966	0.2	4.6	6.6	10.93	17	23.6	24.1	24.8	18.8	12.5	4.1	0.1	12.3
1967	-2.33	1.4	5.8	10.51	15.6	21.4	24.5	23.4	19.5	11.5	6.1	0.9	11.5
1968	-3.83	99	6.8	99	15	22.2	25.2	24.4	20.4	13	5.8	-0.3	99
1969	99	-0.6	9.9	11.33	16.1	21.6	25.4	24.4	19.1	14.7	6.5	2.41	99
1970	-0.1	1.7	6.9	14.9	19.8	23.4	24	25.7	20.3	14	6.5	1.5	13.2
1971	-1.7	0.5	7.8	14	19.5	24.7	25.01	25.2	19	12.8	7	2.7	13
1972	-0.7	-7.2	4.1	12.5	15.6	21.2	23.5	22.5	17.9	12.1	6.9	0.91	10.8
1973	-4.3	-1.1	5.7	12.9	17.3	24.4	25.3	24.2	20.2	12.7	99	99	99
1974	-1.8	-4.2	8.8	13.9	17.5	22.1	25.2	23.8	18.7	11.5	5.2	-2.11	11.5
1975	-5.6	-5.61	3.6	12.3	17.2	22.2	24.3	27.21	20.2	13.4	4.6	1	11.2
1976	0.3	-1.2	4.2	12.2	18.3	22.1	25.7	23.6	20.2	14.1	5.9	0.7	12.2
1977	-4.1	-3	10.6	13.9	17.5	24.1	99	24.5	19.8	15.5	99	99	99
1978	-3.9	0.2	5.3	13.7	19.7	24.4	25	24.8	20.3	14.2	5.8	2.8	12.7
1979	0.7	2.2	6	15.7	15.2	23.1	26.1	23.9	19.8	14.9	6.2	1.7	13
1980	-5.4	-1.8	5.1	14.9	19.1	23.8	25.8	24.2	19.7	14.2	7.9	3.1	12.6
1981	-3.4	-0.8	7.9	14.3	18.3	22.5	25.1	24.1	19.9	12.5	6.8	2.21	12.5
1982	0.6	-3.6	3.8	14.5	17.9	23.2	25.4	24.9	19.2	13.7	6.7	-0.8	12.1
1983	-1.4	1.9	3.6	11.41	19.1	22.9	25.5	25.2	21.7	13.6	7.8	0.61	12.7
1984	-1.9	-0.6	9.8	13.7	20.2	24.3	25.9	25.9	19.8	14.5	7.5	0.9	13.3
1985	-2.3	4	10.3	14.6	18.8	23.9	26.9	25	21	13.5	7.3	2	13.8
1986	0	2	5.8	13.8	17.8	23.5	26.1	23.7	20.7	15.3	99	99	99
1987	2.1	4.6	8.6	14.5	17.6	22.3	25.3	25.8	21.2	14.2	8.9	3.6	14.1
1988	1.41	2.6	6.8	15.6	20.6	25.3	27.1	24.4	21.3	14.1	8.3	3.3	14.2
1989	99	-1.4	6.4	11.7	17.2	22.6	24.2	99	20.4	15.2	7.5	3.31	99
1990	0.3	2	7.3	12.3	21.1	24.5	26.51	25.4	22.2	14.1	8.5	1.1	13.8
1991	-4	-2.5	5.5	12	15.5	22.7	25.2	25	20.6	99	7.2	2.8	99
1992	-2.1	-2.8	5.5	99	99	99	99	99	99	99	99	99	99
