1965	99	99	99	99	99	99	99	35.40	30.80	26.20	19.10	13.00	99
1966	14.50	18.80	18.00	25.50	29.40	35.90	99	36.80	32.20	24.70	15.80	11.20	25.20
1967	11.30	16.30	20.00	22.90	29.30	35.30	35.60	35.30	32.70	25.80	19.30	9.60	24.58
1968	10.10	16.30	20.40	25.10	28.90	34.00	36.00	36.30	32.60	24.80	19.80	13.30	24.49
1969	14.20	19.90	18.40	22.70	29.10	33.20	34.70	36.60	32.20	24.50	20.40	11.50	24.93
1970	15.60	16.20	20.80	23.30	28.20	34.40	35.40	36.90	32.10	25.30	19.80	13.50	24.96
1971	13.00	14.40	19.30	24.30	26.60	34.20	99	35.00	31.90	23.70	17.00	13.40	24.08
1972	99	15.30	19.00	23.50	26.30	34.00	99	37.20	31.50	25.60	19.10	11.40	24.52
1973	10.50	13.60	18.20	24.40	32.00	35.80	99	35.60	99	25.40	17.70	10.50	24.46
1974	99	99	99	99	99	99	99	99	99	22.10	99	99	99
1975	99	15.50	99	23.90	27.20	33.30	35.80	35.80	30.00	24.80	15.30	14.30	23.45
1976	10.90	14.30	17.30	23.00	99	99	99	99	31.20	24.00	16.30	14.70	23.54
1977	14.10	16.60	20.60	99	99	33.70	38.40	99	31.50	25.30	99	99	25.29
1978	13.50	18.30	19.30	23.80	28.30	34.70	35.90	35.50	30.80	99	16.70	99	24.65
1979	17.10	16.60	20.40	99	29.60	34.10	36.80	37.30	32.50	26.60	99	12.90	25.90
1980	13.20	99	20.10	25.80	29.30	35.70	37.00	35.90	32.20	24.80	19.20	99	25.18
1981	10.60	14.40	22.70	26.20	30.60	36.20	37.80	34.40	31.80	26.30	18.40	14.80	25.08
1982	99	15.40	20.60	99	29.10	35.60	37.00	35.80	32.20	24.50	16.70	99	24.96
1983	10.90	15.10	21.10	25.90	30.70	99	37.90	38.00	32.40	24.40	20.60	13.10	25.43
1984	11.30	14.20	19.60	26.50	99	36.20	35.40	36.60	33.40	23.80	99	12.70	24.87
1985	11.90	18.80	99	24.60	28.00	99	36.80	36.40	32.00	25.60	21.20	12.80	25.16
1986	12.00	17.00	18.10	23.30	30.90	99	37.20	36.30	99	25.00	16.20	11.80	24.54
1987	12.80	16.90	21.80	99	32.00	36.00	35.90	37.40	32.30	26.70	18.00	16.00	25.70
1988	13.80	17.30	19.50	26.50	29.80	35.60	38.50	37.40	31.60	26.30	20.10	10.50	26.03
1989	10.80	16.20	19.90	23.80	29.20	34.20	37.00	99	34.90	28.10	21.30	17.20	25.16
1990	99	99	99	99	29.20	35.20	37.30	36.30	34.80	29.20	19.50	99	99
1991	12.00	14.60	19.40	23.90	27.60	33.90	37.40	36.40	32.60	24.80	17.40	13.50	24.36
1992	11.20	17.30	18.10	23.40	27.70	31.80	36.40	99	32.30	25.80	16.70	14.60	24.06
1993	99	14.40	19.50	25.00	29.50	36.80	38.30	36.00	32.50	99	18.00	14.00	25.22
1994	99	15.80	19.70	23.30	30.80	36.50	36.80	36.70	31.50	25.20	99	13.20	25.08
1995	99	99	19.30	99	32.10	34.40	99	38.10	33.70	99	20.10	15.70	26.08
1996	15.70	99	21.50	25.30	30.10	34.10	37.80	99	32.80	25.40	18.10	14.30	25.96
1997	14.30	16.90	19.00	24.00	29.40	35.60	38.50	36.40	99	25.40	19.70	14.40	25.52
1998	14.30	17.30	19.70	26.90	28.90	34.80	38.60	37.50	34.60	25.50	18.60	12.20	25.93
1999	12.40	13.40	20.20	27.50	32.40	36.90	39.40	38.00	34.90	28.60	17.70	12.30	26.13
2000	11.60	15.50	21.30	26.20	99	35.20	38.40	36.30	32.50	23.70	19.50	15.20	25.29
2001	13.50	15.10	24.00	99	29.90	36.50	38.70	99	99	29.60	20.10	14.80	26.89
2002	13.00	16.30	21.60	24.40	30.70	34.90	99	38.30	33.90	27.20	19.00	15.90	26.11
2003	12.30	15.00	99	25.00	31.80	36.00	99	35.80	99	29.50	99	13.50	25.85
2004	13.60	17.80	21.40	24.80	27.00	34.70	37.20	37.80	31.60	28.60	17.30	13.50	25.44
2005	10.90	13.60	21.80	99	33.80	35.20	39.10	37.40	33.20	28.70	20.50	13.30	26.29
2006	11.20	15.40	22.10	28.60	31.60	35.70	37.70	38.10	31.70	27.70	20.40	13.20	26.12
2007	15.00	18.50	19.10	24.80	29.30	34.8	37.8	37.5	35.0	27.6	18.6	13.1	25.93
2008	12.6	18.2	22.0	26.1	30.2	35.5	39.0	37.3	34.3	25.3	17.2	12.5	25.90
2009	12.6	16.3	21.0	24.0	30.7	35.5	38.6	37.6	30.5	27.1	19.1	16.8	25.46
2010	15.5	21.2	24.3	28.9	30.3	35.3	39.0	37.5	33.5	26.1	18.9	16.8	27.28
2011	15.1	14.5	21.1	26.9	29.7	34.5	38.3	37.5
