1926	99	99	99	99	99	99	99	99	99	-5.2	-10.7	-26.3	99
1927	-23.9	-25.8	-26.3	-18.9	-8	2.2	3.1	3.5	-0.7	-9.4	-11.3	-17.9	-11.12	
1928	-23.4	-23.6	-24.6	-14.7	-8.5	0.7	2.8	1.5	-1	-8.2	-17	-22.1	-11.51	
1929	-22.1	-23.7	-25.6	-17.4	-8.7	-0.1	1.5	1.8	-2.1	-11.6	-20.2	-23.8	-12.67	
1930	-13.5	-27	-26.4	-17.3	-8.6	1.2	1.9	1	-2	-4.4	-18.5	-21.1	-11.23	
1931	-26	-29.5	-20.3	-16.9	-8	-0.8	1.2	1.2	-3	-11.6	-19.7	-21.7	-12.93	
1932	-26.3	-26.4	-22.2	-16.1	-10.1	-0.3	2.3	0.5	-2.3	-9.3	-17.2	-22.1	-12.46	
1933	-27.3	-25.4	-20.5	-16.9	-7.1	-1.1	1.9	1.5	-4.2	-8.8	-20.4	-19	-12.28	
1934	-26.5	-22.3	-24	-19.2	-6.5	-0.1	2.4	1.8	0.1	-4.6	-11.1	-18.7	-10.73	
1935	-25.6	-24.8	-18.2	-18.9	-8.9	-0.7	2.7	99	-1.3	-8	-15.5	-21.2	-11.57	
1936	-26.4	-27.3	-27	-14.4	-8.2	2.1	2	1.7	-2.3	-6.1	-15.4	-22.9	-12.02	
1937	-23.6	-23.3	-22.3	-21.5	-10.1	1	3.4	3.2	1.1	-5.5	-10.6	-13.1	-10.11	
1938	-21.2	-20.8	-20.9	-15.3	-7.8	0.4	2.2	1.2	-2.6	-6.8	-13.7	-21.1	-10.53	
1939	-29.1	-25.8	-25	-15.1	-8.6	1.3	3.6	1.9	0.7	-7.3	-12.6	-21.6	-11.47	
1940	-20.8	-25	-21.7	-12.5	-3.2	0.8	3.9	3.5	-0.4	-4.6	-6.9	-20.5	-8.95	
1941	-24.3	-22.9	-24.2	-16.7	-7.4	0.6	2.6	3.2	0.5	-2.6	-13	-20.5	-10.39	
1942	-16.8	-23.2	-24.9	-15.1	-8.3	0.4	2	0.7	-1.9	-8.6	-16.8	-21.9	-11.20	
1943	-24.4	-25.5	-23.4	-15.4	-2.9	1.4	3.1	3.1	0	99	-12.1	-21.4	-11.47	
1944	-26.2	-24.9	-23.1	-19.6	-6.4	1.4	2.3	2	-0.2	-6.6	-14	-20.2	-11.29	
1945	-24.2	-25.5	-26.4	-11.9	-7.3	-1	2.2	0.5	-0.8	-9.7	-14.9	-21.8	-11.73	
1946	-24.8	-26.1	-24.8	-18.7	-7.4	0.3	1.7	0.9	-3.4	-6.7	-13	-23.4	-12.12	
1947	-24.1	-22.3	-24.6	-14.4	-6.6	-0.6	2.4	2.1	-1.8	-8.8	-17	-22.7	-11.53	
1948	-27.7	-24	-25.5	-15.2	-7.4	-0.5	1.4	1	-2.6	-10	-16.8	-24	-12.61	
1949	-24	-24.8	-19.2	-21	-10.8	-0.8	1.9	1.6	-0.8	-6	-18.6	-21.3	-11.98	
1950	-16.9	-23.8	-24.6	-17.4	-9.1	-0.1	2.9	3.3	-1.1	-6	-13.2	-22.8	-10.73	
1951	-25.9	-28.7	-22	-16.2	-6	1.4	2.1	1.9	0.6	-4.4	-12.8	-20.6	-10.88	
1952	-22.6	-26.2	-23.6	-18	-8.2	0.2	2.7	2.4	0.6	-4.2	-11.5	-21.2	-10.80	
1953	-23.4	-28.5	-27.9	-16.9	-5.9	2.3	2.5	2	0.1	-4	-15	-24.6	-11.61	
1954	-21.6	-26.2	-22.8	-10.7	-5.2	0.6	2.2	2	-0.6	-7.9	-15.4	-22.6	-10.68	
1955	-22.2	-27.6	-24	-18.3	-7.5	0.3	2.7	1.9	-2	-11.9	-19.8	-21.4	-12.48	
1956	-22.2	-27.2	-24.8	-15.1	-4.6	-1	1.8	0.2	-1.7	-7.8	-19.4	-18.8	-11.72	
1957	-20	-24.4	-24.6	-12.8	-5.7	0.6	2.6	1.3	-3	-8.7	-18	-26.2	-11.58	
1958	-25.1	-21.8	-22.4	-19.2	-9	1.8	2.4	2.6	-1	-8.8	-16.9	-19.2	-11.38	
1959	-20	-23.5	-29.2	-18	-4.2	0.5	1.7	2.7	0.8	-4.9	-11.5	-22.6	-10.68	
1960	-24.8	-20.2	-18.7	-18.4	-6	-0.2	2.8	2.2	-0.4	-4.6	-16.1	-19.5	-10.33	
1961	-20.6	-28.3	-28.3	-19.5	-3.4	1	2.6	1.2	0	-6.6	-13.4	-22.5	-11.48	
1962	-19.9	-19.9	-19.9	-16.2	-7.7	0.8	2.4	2	-2.9	-8.5	-12.6	-19.4	-10.15	
1963	-20.2	-25.5	-25.3	-16	-6	-0.2	2	0.4	-1	-11.2	-15	-17.8	-11.32	
1964	-29.5	-30	-30	-19.4	-8.6	0.7	1.8	3.3	-0.4	-6.6	-15.4	-23.6	-13.14	
1965	-23.6	-28.1	-28.1	-19	-10.8	-1.5	1.8	1	-3.6	-11.8	-10.8	-23.8	-13.19	
1966	-22	-27.8	-27.8	-19.3	-7.7	1	2.4	2.3	-1	-8.9	-10.7	-19.7	-11.60	
1967	-23.1	-27.9	-27.9	-15.6	-4.6	0.6	2.4	0.8	-1	-6	-17.2	-19.6	-11.59	
1968	-20.6	-28.4	-28.4	-19.4	-5.7	0.3	3.4	5	0	-5.8	-14.4	-21.9	-11.33	
