1957	22.30	23.20	22.70	23.10	24.50	23.30	22.60	99	99	99	23.40	22.90	23.35
1958	99	99	99	99	99	24.20	99	99	99	99	24.50	24.20	99
1959	24.30	23.70	24.30	24.60	24.00	24.00	25.00	25.10	25.10	25.00	24.60	24.20	24.49
1960	24.00	23.80	23.80	24.00	23.40	23.80	24.20	25.20	24.90	24.30	24.30	23.70	24.16
1961	24.00	23.90	24.60	24.70	24.70	23.90	24.40	27.60	27.10	25.50	25.20	24.00	24.94
1962	24.20	24.20	24.60	24.40	24.90	24.10	24.60	26.40	26.20	25.40	25.90	24.60	24.91
1963	24.20	24.00	24.40	24.90	25.00	24.80	25.40	27.30	27.80	27.20	25.30	24.90	25.41
1964	25.00	25.00	25.00	25.10	24.10	24.70	24.60	26.60	26.40	25.20	24.70	24.30	25.11
1965	24.90	24.90	23.70	24.40	25.00	25.30	25.70	26.00	26.10	25.80	24.80	24.90	25.08
1966	25.10	25.00	25.10	25.50	25.00	25.20	25.30	25.70	25.60	25.70	25.60	24.90	25.31
1967	24.90	24.30	24.80	25.00	26.00	25.20	25.30	26.50	27.30	25.80	25.70	25.30	25.48
1968	24.90	24.30	24.30	24.20	23.50	25.40	25.60	25.80	25.20	25.90	25.90	24.90	25.03
1969	24.90	25.20	25.50	25.60	26.10	25.30	25.00	26.90	26.70	26.20	26.10	25.60	25.70
1970	25.30	25.60	25.10	25.60	25.70	25.20	24.80	26.50	26.20	99	26.60	25.60	25.73
1971	25.10	24.50	24.90	99	99	99	99	99	24.40	24.20	24.20	24.30	99
1972	23.80	23.70	24.40	24.10	24.40	25.20	22.70	23.60	24.20	24.40	25.00	25.20	24.15
1973	25.20	25.00	25.30	24.90	24.60	24.10	21.00	20.80	22.10	99	99	99	24.19
1974	23.60	22.20	99	99	24.50	24.10	22.80	25.00	24.50	24.60	24.80	24.10	23.84
1975	24.10	24.50	24.80	24.80	23.90	22.90	26.10	23.50	24.50	24.70	24.70	24.20	24.38
1976	24.00	24.10	23.80	24.00	23.90	22.50	22.20	25.80	24.80	25.20	25.10	25.10	24.13
1977	25.10	24.80	24.70	24.90	23.50	23.40	24.00	24.50	24.70	25.00	25.10	24.90	24.57
1978	24.60	25.30	24.80	24.80	24.20	23.20	24.00	23.60	25.20	25.00	25.40	24.20	24.58
1979	24.10	24.00	24.30	24.90	24.90	23.00	23.90	25.10	24.90	25.90	25.40	25.00	24.55
1980	25.10	25.30	24.10	25.20	22.90	23.60	23.30	24.60	25.00	25.30	25.10	25.10	24.54
1981	99	99	24.50	25.60	24.90	23.90	21.50	24.80	25.10	99	25.60	26.00	24.59
1982	25.10	25.30	25.30	25.20	24.60	99	99	99	99	25.60	99	99	99
1983	26.20	26.50	25.90	25.90	25.60	22.90	24.60	24.70	25.80	99	25.00	25.00	25.43
1984	24.90	25.80	25.40	25.10	25.60	24.40	24.10	23.90	25.40	25.80	25.40	25.50	25.07
1985	25.40	26.10	26.10	25.70	25.40	23.50	24.50	24.80	25.40	25.40	25.70	25.10	25.29
1986	25.40	25.90	25.20	25.90	25.70	24.00	23.80	25.20	25.00	25.70	26.00	25.20	25.24
1987	24.90	25.60	25.40	26.10	25.20	24.60	25.80	24.80	99	99	99	99	25.47
1988	99	99	99	99	99	23.90	24.70	26.10	26.90	26.60	25.90	25.40	99
1989	25.10	25.10	25.60	25.50	24.70	25.00	23.20	99	25.90	25.90	26.50	25.80	25.25
1990	25.50	25.50	25.90	25.80	25.40	24.90	23.30	25.00	25.60	26.60	26.20	25.90	25.46
1991	26.10	25.90	25.50	25.80	25.80	24.80	23.90	24.60	26.10	26.00	26.00	26.00	25.53
1992	99	99	25.30	25.60	26.30	99	23.80	25.30	99	99	99	99	99
1993	25.50	99	25.60	25.50	99	99	23.80	99	25.80	99	26.10	25.60	99
1994	25.60	25.80	26.10	26.10	25.70	99	23.90	25.40	26.20	26.40	99	99	25.60
1995	26.00	99	26.10	25.40	24.60	99	25.30	25.80	99	26.90	99	25.70	99
1996	27.00	25.80	99	99	99	24.40	24.60	24.60	25.70	26.00	99	25.30	25.50
1997	25.00	99	25.50	99	99	24.80	24.60	25.60	99	26.90	27.00	25.60	25.67
1998	26.80	99	26.20	26.50	99	25.10	26.00	26.70	26.70	27.00	26.50	26.30	26.27
1999	99	25.70	25.70	25.40	25.10	25.10	24.60	24.70	24.50	26.40	26.90	26.10	25.54
2000	26.00	25.70	25.80	25.90	25.70	25.20	24.10	25.90	99	26.80	26.00	26.00	25.79
2001	25.60	25.70	99	99	25.70	24.20	25.20	26.00	26.10	26.90	26.70	26.00	25.81
2002	26.30	26.30	26.10	26.40	99	25.20	25.80	26.40	26.60	26.60	26.40	26.00	26.17
2003	99	99	26.20	26.80	26.30	25.50	23.20	23.60	99	24.80	24.90	26.80	25.10
2004	26.90	26.10	25.80	26.60	24.80	25.30	25.30	26.30	26.40	26.70	26.80	25.50	26.15
2005	26.90	26.10	26.00	26.10	26.50	24.30	24.80	26.00	26.30	27.10	27.40	26.10	26.08
2006	26.20	25.90	25.90	25.70	24.50	25.80	25.80	27.20	99	27.20	26.60	26.10	26.14
2007	26.60	26.20	26.10	26.30	24.90	25.00	25.30	26.2	27.3	26.6	26.4	26.2	26.08
2008	25.8	99	99	99	99	99	99	99	99	99	99	99	99
