1958	13.4	12.0	12.2	8.7	-0.7	-1.0	1.9	1.3	5.0	9.4	8.4	11.9	6.87
1959	12.6	12.8	8.0	2.8	3.7	2.1	-1.5	1.4	3.3	5.7	9.6	12.1	6.03
1960	99	99	99	99	99	99	99	99	99	99	99	99	99
1961	99	99	99	99	99	99	99	99	99	99	99	99	99
1962	99	99	99	99	99	99	99	99	99	99	99	99	99
1963	11.4	13.4	9.0	5.7	4.7	1.0	-0.7	2.0	2.0	8.2	8.3	10.8	6.38
1964	13.2	10.4	8.1	6.0	3.7	-1.2	1.1	2.0	3.0	8.0	11.2	11.8	6.36
1965	12.0	10.5	10.4	6.1	1.1	2.3	-4.9	2.4	3.7	6.3	9.0	9.2	5.89
1966	12.5	9.6	9.8	7.9	7.2	1.8	0.8	3.7	6.0	6.7	10.5	10.0	7.14
1967	11.6	10.6	9.8	8.0	3.6	1.9	0.8	1.1	4.0	6.7	9.2	11.5	6.44
1968	12.4	10.1	8.9	7.9	5.8	2.0	2.5	3.2	4.4	5.5	10.0	10.0	7.02
1969	12.1	10.5	9.0	6.3	3.8	0.6	-0.5	2.7	3.5	5.7	9.3	11.8	6.08
1970	12.2	11.4	9.1	6.7	3.5	0.5	0.8	1.4	4.4	6.8	9.5	9.2	6.51
1971	9.0	10.2	9.2	5.3	2.1	-0.4	1.0	1.9	4.7	7.1	8.7	8.4	5.67
1972	10.7	10.0	7.0	8.0	1.4	-1.3	-0.3	-1.2	4.1	5.1	10.2	11.8	5.18
1973	10.4	11.0	10.3	6.1	2.3	2.0	-0.7	2.4	3.7	6.3	9.3	10.9	6.24
1974	9.7	10.6	8.9	6.5	2.5	0.8	1.5	99	3.5	7.1	8.3	11.3	6.08
1975	14.3	10.6	10.0	6.5	2.7	1.9	0.6	0.6	4.1	6.4	8.2	8.7	6.43
1976	9.1	12.2	7.1	6.4	4.4	-0.6	-1.2	1.7	5.2	6.5	9.3	10.5	5.73
1977	11.5	11.7	10.1	7.0	3.2	0.0	-1.2	1.6	5.0	7.7	8.1	12.9	6.27
1978	12.6	13.9	10.2	7.1	4.7	0.4	1.4	1.0	4.7	5.9	9.6	11.4	7.03
1979	13.4	12.3	9.8	7.3	3.3	3.1	2.1	2.3	3.1	5.9	8.8	12.0	6.90
1980	13.2	11.3	7.7	3.5	3.9	1.4	0.0	3.0	5.3	7.2	7.7	11.5	6.35
1981	12.3	12.1	10.6	7.6	3.0	2.5	2.6	4.1	3.8	8.0	8.6	11.1	7.23
1982	99	99	99	99	99	99	99	99	99	99	99	99	99
1983	99	99	99	99	99	99	99	99	99	99	99	99	99
1984	99	99	99	99	99	99	99	99	99	99	99	99	99
1985	99	99	99	99	99	99	99	99	99	99	99	99	99
1986	99	99	99	99	99	99	99	99	99	99	99	99	99
1987	99	99	99	99	99	99	99	99	99	99	99	99	99
1988	99	99	99	99	99	99	99	99	99	99	99	99	99
1989	99	99	99	99	99	99	99	99	99	99	99	99	99
1990	99	99	99	99	99	99	99	99	99	99	99	99	99
1991	99	99	99	99	99	0.6	-2.6	-0.6	3.9	5.9	9.1	99	99
1992	14.0	99	99	6.4	1.4	-0.9	-1.5	3.1	3.9	5.0	10.6	10.0	5.75
1993	10.9	12.3	10.0	5.5	1.9	-0.7	0.8	4.0	5.0	8.0	8.5	10.5	6.35
1994	14.1	11.1	10.5	5.7	3.4	99	-0.7	2.2	3.6	6.5	9.1	11.3	6.36
1995	11.6	11.6	10.6	6.7	3.9	-1.8	1.2	0.7	4.2	6.7	9.2	13.2	6.33
1996	11.0	10.2	9.4	5.8	5.7	0.2	1.8	2.3	5.9	7.1	8.4	10.8	6.75
1997	99	9.9	10.1	7.4	4.0	1.5	0.8	2.0	4.2	5.9	9.0	10.9	6.40
1998	11.4	14.4	9.6	8.2	6.7	3.1	4.3	3.9	3.9	99	9.4	11.6	7.71
1999	13.8	11.6	9.0	5.8	99	-1.7	0.4	3.0	4.5	8.0	10.0	10.8	6.57
2000	13.8	99	8.1	5.7	3.5	-0.5	-1.8	1.3	1.7	7.5	8.0	99	5.87
2001	10.6	10.9	7.1	6.2	2.1	1.4	-3.2	2.2	5.3	7.9	8.0	99	5.70
2002	99	12.6	6.7	6.5	2.3	-3.4	1.9	2.0	4.6	6.0	7.7	11.0	5.52
2003	11.1	11.1	10.3	5.2	3.6	1.1	2.3	3.3	5.0	6.3	8.1	9.1	6.53
2004	13.3	13.9	10.6	6.1	3.4	4.1	-1.6	2.3	4.8	7.1	10.1	10.8	6.93
2005	11.0	14.8	9.4	6.3	1.9	-0.2	99	1.2	4.8	6.9	8.2	11.9	6.21
2006	12.1	99	99	99	2.6	1.1	-1.0	1.2	5.1	6.0	8.3	9.3	6.30
2007	12.1	10.6	99	99	1.9	0.9	-0.1	1.0	4.4	6.2	8.7	12.2	5.89
2008	13.6	12.2	9.7	6.0	2.5	3.0	0.5	0.6	4.0	7.1	9.4	13.9	6.73
2009	13.0	12.6	10.2	7.8	3.8	1.3	1.8	2.3	4.4	5.2	6.6	10.0	6.91
2010	10.9	9.8	10.9	5.8	3.8	1.0	-1.7	-1.5	4.5	7.1	8.8	10.3	5.78
2011	12.9	12.6	8.8	7.0	4.4	1.4	0.3	0.3
