1935	-0.13	2.83	6.1	8.6	14	17.33	16.1	14.6	14.6	9.3	3.9	-0.1	8.9
1936	-0.33	-0.43	5.7	9.5	13.5	15.53	16.4	15.6	13.6	8.1	5	7.25	9.1
1937	0.43	0.93	6.2	10.5	12.8	17.73	17.6	14.7	15.3	10	4.1	0.5	9.2
1938	0.13	0.53	6.3	9.6	13	17.63	15.2	16.5	15.5	99	99	99	99
1939	99	99	99	99	99	99	99	99	99	99	99	99	99
1940	99	99	99	99	99	99	99	99	99	99	99	99	99
1941	-2.33	0.63	5.8	8.9	13.1	15.43	17.3	15.4	13.8	8.6	2.6	-0.2	8.3
1942	-1.03	3.33	4.6	9.3	13.4	16.83	16.6	15.1	13.2	9.7	3.4	-0.2	8.7
1943	0.53	3.03	3.9	7.4	13.2	16.43	15.2	16.2	14.7	10.9	5.5	-0.9	8.8
1944	-1.33	0.73	5.8	7.6	13.2	18.03	16.2	15.6	13.6	10.5	3.7	2.3	8.8
1945	-1.13	1.03	6.6	9.2	10.8	17.53	16	15.8	14.3	8.7	2	-2.5	8.2
1946	-0.83	3.23	5.9	8.7	13.3	17.43	16.4	17.81	15.2	8.9	4.3	0.3	9.2
1947	1.93	1.93	5.4	11.2	12.6	17.33	16.3	15.3	15	9.5	3.3	1.2	9.2
1948	0.33	1.13	5	9.4	12.6	17.43	16	15.5	14.2	7.5	5.2	-1.6	8.6
1949	0.53	1.93	5.2	7.3	12.9	18.43	99	99	99	99	99	99	99
1950	99	99	99	99	99	99	99	99	99	99	99	99	99
1951	99	99	99	99	99	99	99	99	99	99	2.4	-2.8	99
1952	-2.13	1.83	3.1	9	13.5	15.33	99	14.2	12.7	10	3.50	99	99
1953	-1.73	1.33	6.2	8.9	13.2	15.63	15.1	16.2	13.3	8.7	2.8	-0.7	8.2
1954	-1.53	3.73	6.5	10.1	13.3	16.03	14.9	13.7	13.8	9.7	2.9	-0.9	8.5
1955	-1.43	2.73	5.2	7.7	14.5	14.33	15.03	13.6	13.2	10.3	2.53	-3.03	7.9
1956	-2.43	-0.53	4	9.6	14.8	17.13	13.7	13.5	12.3	8.3	2.2	-1.8	7.6
1957	-1.83	0.23	2.9	8	12.2	15.73	15.2	14.3	13.2	7.1	1.3	-1.9	7.2
1958	-2.43	0.63	4	9.1	13.3	16.83	15.3	13.9	13	10.2	2.5	-2.1	7.9
1959	-0.83	-0.63	99	8.9	11.7	14.23	15.6	14	11.1	7.8	2	-1.7	99
1960	-4.43	0.43	4.7	10.1	13.5	15.83	14.8	14.2	12.7	8.4	2.1	-1.1	7.6
1961	-0.6	2	4.1	8.5	11.9	16.03	14.5	14.8	12.4	9	0.6	-3.8	7.5
1962	-2.9	-0.5	3.7	8.1	10	14.33	15	13.1	12.3	8	3	-1.9	6.9
1963	-4	-0.4	3.2	6.9	11.1	14.13	14.7	13.6	13	7.2	0	-3.5	6.3
1964	-0.5	1.1	3.9	7.6	11.1	16.33	14.7	13.5	12.7	9.3	2.6	-1.6	7.6
1965	-2.6	-0.5	2.2	8.1	12.4	15.23	14.7	13.6	12.5	6.6	-0.1	-2.3	6.7
1966	-4.6	1.2	5.4	7.6	13.1	15.03	15.5	14.6	11.3	6.3	3.7	-0.7	7.4
1967	-1.2	0.11	2.7	6.8	11.2	14.63	15.8	15.2	12.5	6.6	0	-2.4	6.8
1968	-3.6	0.5	3.9	6.9	12.2	99	99	99	99	99	1.7	-2.5	99
1969	-2.4	1.8	4.2	8.4	12.6	15.63	15	14.4	13	6.6	2.3	-2.1	7.5
1970	-2.8	-0.4	5.61	8	14.1	15.93	14.8	14.1	13.3	7.9	1.5	-0.8	7.6
1971	-1.93	0.53	4.4	7.9	10.8	14.53	15.3	14	13.7	8.9	1.6	-2.9	7.2
1972	-1.73	1.73	5.2	7.33	12.73	15.83	16.9	14.7	12.23	8.83	1.3	-0.4	7.9
1973	-0.43	1.03	5.13	8.93	12.63	14.43	15.83	14.3	13.03	8.4	1.33	-1.2	7.8
1974	-2.73	3.43	4.4	8.73	11.93	15.73	14.43	14.23	12.63	10.93	3	-0.5	8
1975	-1.63	0.73	4.8	8.43	12.4	17.03	15.5	15.1	12.33	10	3.7	-1.9	8
1976	-3.33	2.33	5.7	8.4	11.6	14.53	14.5	14.6	12.73	7.5	5.7	-0.4	7.8
1977	-1.03	3.33	5.6	7.5	9.8	13.13	15.1	15	12.73	6.1	2.4	-1.5	7.3
1978	-4.23	0.53	4.1	7.7	11	15.03	15.3	14.2	12.23	8.6	3.4	-1.6	7.2
1979	-1.73	0.33	4.2	8.9	14.8	16.53	15.1	14.1	11.73	7.4	4.2	-2.8	7.7
1980	-2.83	1.13	4.3	8.8	10.3	15.33	15.6	14.5	13.63	7.1	2.4	-0.6	7.5
1981	-2.6	2	3.7	7.4	11.1	15.6	15.1	16	13.1	9.2	2.8	-5.2	7.4
1982	-2.6	0	4.8	7.9	11.8	16.4	16	15.5	13.9	7.1	1.5	-1.3	7.6
1983	-3.8	-1.3	3.8	6.8	11	17.4	17.6	15.5	13.4	9	1.5	-1.7	7.4
1984	-1.8	3.7	5.9	9.4	12.4	15.6	14.2	13.9	12	9.9	1.3	1.5	8.2
1985	-1.5	1.1	7.6	9.7	12.4	15.7	14.2	15.3	12.6	8.6	2.5	-0.7	8.1
1986	-0.4	1.2	4.9	7.3	11.8	17.3	16.7	15.5	12.5	6	2.1	-0.7	7.9
1987	-2.7	1.5	4.3	7.6	12.5	17.6	16.3	13.7	13.4	8.6	3.7	-1	8
1988	-0.5	2.7	6.1	8.4	13.4	16.9	15.9	14.2	12.7	9.1	2.1	-0.8	8.4
1989	-0.5	2.2	6.1	9.3	99	17	16.3	99	14.3	8.7	2.8	-2.5	99
1990	0	99	3.6	99	99	99	99	99	12.4	8.5	3.4	-1.1	99
1991	-2.93	2.93	99	9.3	99	99	99	99	99	99	99	99	99
1992	99	99	7.01	99	99	99	99	99	99	99	99	99	99
