1951	8.10	9.00	9.70	12.80	15.00	19.60	22.10	22.20	21.60	15.20	12.30	8.10	14.72
1952	6.60	7.80	10.70	14.40	16.80	21.70	25.00	22.80	18.50	15.20	9.90	8.20	14.79
1953	5.90	7.30	10.60	13.70	18.00	18.80	22.50	22.40	20.50	16.90	11.90	11.40	14.72
1954	5.80	7.70	11.10	12.80	16.30	20.50	21.10	20.80	20.30	15.20	12.00	9.90	14.58
1955	10.50	9.00	10.00	13.70	16.90	19.90	23.00	22.60	20.50	15.70	11.30	10.00	15.25
1956	8.60	3.80	9.70	12.10	17.20	18.90	22.00	22.90	20.30	15.20	10.10	8.10	14.23
1957	7.10	10.20	11.90	13.40	15.40	19.60	22.80	22.00	19.30	16.70	12.40	8.90	14.91
1958	8.00	9.30	9.00	11.40	17.10	19.30	21.80	22.40	21.00	16.20	12.70	8.60	14.76
1959	8.10	9.80	12.10	13.20	16.80	20.50	23.60	22.70	20.00	15.60	10.80	9.40	15.15
1960	7.70	9.10	10.90	13.20	16.80	21.20	21.70	21.10	18.40	14.80	11.60	8.10	14.66
1961	7.20	10.40	11.60	14.80	16.20	20.10	22.70	22.80	22.10	16.70	11.10	8.80	15.32
1962	9.70	8.10	8.80	13.40	15.50	19.60	22.30	23.00	20.50	16.80	10.40	6.50	14.74
1963	5.50	6.20	10.10	13.10	16.80	19.30	23.80	21.80	19.50	16.50	12.90	8.20	14.33
1964	7.40	8.80	10.60	13.50	17.80	21.50	24.00	23.10	20.70	15.10	12.20	8.40	15.24
1965	7.70	6.40	10.10	13.00	16.00	19.00	21.90	21.70	18.10	16.60	11.50	9.30	14.20
1966	7.30	10.60	10.50	14.10	17.30	20.90	21.10	21.10	20.00	17.40	10.00	8.20	14.97
1967	7.20	8.60	11.90	13.20	16.60	19.20	23.70	23.20	19.40	17.60	12.70	8.00	15.12
1968	6.90	9.00	10.70	13.60	16.60	19.40	22.80	21.00	19.10	17.10	11.80	8.50	14.67
1969	7.60	6.80	10.30	12.90	16.40	18.50	22.40	23.10	20.00	17.70	11.80	6.80	14.67
1970	8.60	8.80	9.10	12.60	15.30	20.80	22.40	22.80	21.00	16.10	12.10	7.70	14.70
1971	7.50	8.60	7.60	14.00	16.30	18.60	23.40	24.10	20.10	16.80	11.20	8.90	14.66
1972	8.00	9.80	11.30	12.60	15.10	18.60	22.20	21.40	17.40	15.20	12.70	9.10	14.43
1973	8.30	8.40	9.80	11.70	16.50	20.50	23.00	24.20	21.30	16.30	11.70	8.40	15.07
1974	9.50	9.80	11.00	12.80	15.50	19.50	21.70	23.30	19.50	12.20	11.10	8.90	14.52
1975	9.30	8.90	9.40	12.80	15.90	18.60	22.70	23.00	20.50	15.40	10.90	9.00	14.69
1976	8.00	9.90	9.80	12.10	16.90	20.80	22.90	21.30	18.10	15.40	11.20	9.00	14.62
1977	8.40	10.00	11.80	12.70	15.70	19.00	21.70	20.80	19.20	17.40	12.00	9.10	14.81
1978	8.00	8.10	11.70	12.00	15.10	19.20	21.30	22.40	20.00	16.30	11.90	9.80	14.59
1979	6.90	9.30	10.60	12.30	16.60	21.30	22.50	22.60	20.00	16.40	10.70	10.00	14.92
1980	8.00	10.10	10.60	12.00	14.80	18.60	20.40	23.10	20.80	15.70	11.20	7.40	14.61
1981	7.20	7.90	11.40	13.70	16.00	20.60	21.70	23.60	20.80	16.30	11.60	9.00	14.85
1982	9.40	8.70	10.20	13.00	17.10	21.50	24.60	23.40	22.10	16.00	12.70	9.40	15.64
1983	8.60	7.30	11.10	13.30	16.40	20.70	25.40	23.80	21.70	17.10	13.10	8.60	15.66
1984	8.10	7.80	10.00	12.70	14.30	18.60	22.70	22.20	19.20	16.00	13.10	9.20	14.44
1985	4.20	8.80	10.20	14.00	16.00	20.10	24.10	23.30	22.10	18.10	10.20	9.90	15.02
1986	8.10	7.10	11.40	12.70	18.70	20.60	23.50	24.30	20.90	18.30	13.10	8.70	15.72
1987	7.20	8.70	9.20	13.50	15.60	19.90	24.30	24.20	22.90	17.50	12.20	10.50	15.32
1988	9.90	9.60	11.30	13.80	17.60	19.80	23.70	24.50	20.20	18.10	11.20	9.30	15.85
1989	8.80	10.10	12.80	13.00	17.90	99	24.30	24.30	20.30	16.20	12.00	9.60	15.87
1990	8.50	12.70	12.50	13.00	18.50	21.00	23.50	24.10	20.80	17.70	11.10	6.90	16.08
1991	99	99	99	12.30	14.60	19.30	23.80	24.30	21.80	15.30	11.20	7.70	14.69
1992	8.60	9.10	11.20	13.10	18.60	19.30	22.80	24.60	20.30	14.80	12.70	99	15.23
1993	8.90	99	10.10	13.00	17.40	21.50	22.20	23.90	19.50	15.10	10.70	9.80	14.86
