1957	99	99	99	99	99	99	99	99	99	99	99	-13.30	99
1958	-19.50	-13.90	-8.50	-0.10	7.30	12.10	15.00	12.70	7.10	-1.70	-10.30	-13.20	-1.09
1959	-20.70	-17.60	-9.80	0.90	5.30	10.70	14.70	11.60	7.60	-0.10	-16.60	-21.20	-2.27
1960	-18.90	-13.80	-8.60	-1.80	5.30	11.30	15.10	13.00	6.50	-1.70	-12.90	-20.10	-2.31
1961	-20.20	-16.20	-11.70	2.90	6.20	11.90	13.00	10.50	6.10	-4.40	-8.40	-15.20	-2.53
1962	-20.70	-16.80	-8.90	-1.80	8.40	12.60	13.70	13.30	8.50	-1.40	-14.20	-11.40	-1.88
1963	-18.60	-15.80	-3.90	-4.40	7.90	12.30	13.90	13.20	5.90	-2.00	-9.10	-13.70	-1.00
1964	-18.10	-26.80	-8.20	2.10	8.30	13.60	14.40	13.70	4.80	-3.80	-9.30	-15.00	-1.92
1965	-17.50	-15.60	-8.20	0.20	9.20	13.80	13.60	12.50	6.80	0.00	-9.10	-18.00	-0.77
1966	-17.00	-12.00	-6.90	-1.40	6.00	12.80	12.50	12.40	8.80	-1.20	-11.30	-21.40	-1.27
1967	-18.60	-17.20	-9.40	-0.90	9.90	12.60	14.10	11.90	5.30	-1.70	-17.60	-20.90	-2.75
1968	-21.20	-22.80	-9.20	-1.40	6.80	14.40	14.80	11.00	4.10	-3.90	-8.20	-14.90	-3.04
1969	-22.90	-20.80	-8.60	-0.70	8.30	13.90	14.10	12.50	4.80	-0.80	-12.30	-20.80	-2.28
1970	-17.80	-15.70	-15.00	-2.50	6.40	12.40	15.80	12.90	4.00	-1.80	-13.40	-17.40	-2.96
1971	-17.10	-17.40	-12.60	0.80	6.70	10.50	12.80	12.70	5.50	-0.40	-9.90	-16.10	-2.15
1972	-15.60	-18.90	-6.30	1.20	9.60	14.30	14.10	13.50	4.60	-2.40	-8.80	-14.80	-0.90
1973	-14.40	-16.00	-8.10	0.10	5.10	12.30	13.30	11.80	8.00	-2.30	-8.30	-14.80	-1.11
1974	-18.40	-15.80	-11.20	2.00	8.40	13.30	15.30	13.90	4.90	-5.40	-9.20	-21.10	-1.42
