1947	99	99	99	99	99	99	99	30.1	28.1	20.2	15.9	8.9	99
1948	7.2	9.3	14.53	20.7	28.2	99	30.7	29.4	26.7	18	13.4	8.3	99
1949	6.9	8.5	14.4	21.9	28.1	27.6	30.6	28.4	27.9	19.2	12.1	9.1	19.6
1950	5.1	5.6	12.3	17.8	25.6	30.4	29.9	29.3	25.3	19.8	12.4	6.1	18.3
1951	6.4	8.6	11.13	17.7	25.1	28.8	31.1	29.4	27.4	23.92	15.3	10.8	19.6
1952	6.8	10.4	14.4	21.7	26.2	31.1	29.8	29.5	99	99	99	8.2	99
1953	5.3	10.7	17.2	21.2	26.1	30.6	30.7	28.9	26.2	19.8	14.5	12.2	20.3
1954	6.3	8.2	14.2	20.2	26.8	30.5	29.2	29.9	26.4	17.9	13.2	8.9	19.3
1955	5.6	10.4	15.73	18.4	21.71	28.81	31.1	28.7	27.1	19.6	15.1	10.1	19.4
1956	6.8	10.8	13.1	21.6	28.9	30.3	27.8	27.9	27.1	19.7	13.7	7.8	19.6
1957	4.2	8.5	13.43	17.3	21.8	28.5	30.7	28.6	28.91	18.7	11.8	7	18.3
1958	9.2	8.8	15.2	23.3	24.6	30.2	30.8	30.2	26.7	20.7	14.4	10.5	20.4
1959	6.3	8.3	16.7	20.7	25.4	30.8	28.8	99	99	99	99	8.8	99
1960	8.1	13.9	99	99	99	30.2	30.9	31.4	27.4	20	13.4	8.4	99
1961	7.7	7.2	15.3	99	26.1	30.1	30.4	30.2	28.3	20.2	12.4	8.1	99
1962	7.4	10.8	13.8	20.8	25.4	29.8	29.2	30.2	25.5	19.4	13.1	7.8	19.4
1963	9.01	12.7	14.5	18.9	23.4	31.1	31.5	99	26.1	21.8	13.7	8.8	99
1964	2.7	8.8	99	20.5	25.4	28.7	29.5	29.6	26.5	18.5	12.7	7.6	99
1965	8.81	9.3	14.1	16.7	23.1	30	29.3	99	99	99	99	99	99
1966	99	11.5	14.8	18.3	25.8	28.9	29.5	29.2	25.2	19.6	11.6	7.9	99
1967	5.6	11.5	12.9	17.4	23.7	29.8	30.1	28.8	26.8	19.7	13.9	6.6	18.9
1968	5.4	6.7	15.5	20.7	22.6	28.71	30.7	29.3	26.2	19.6	14.1	8.6	19
1969	6.8	8.2	17.8	20.3	23.8	30	31.4	30.2	25.8	21.6	13.6	10.1	20
1970	6.4	9.1	13.2	20.5	27.1	30.7	30.1	29.3	25.9	21.2	14	9.1	19.7
1971	5.9	9.2	15.4	23.1	26.8	30.2	24.65	28.7	24.7	19.8	14.4	9.3	19.3
1972	5.3	99	99	99	99	29.8	30.1	28.6	25.2	18.9	14.7	8.3	99
1973	4.7	10	15.1	21.3	26.5	32.5	29.2	29	27	19.9	14.3	7.1	19.7
1974	99	99	17.3	21.6	25.1	28.9	29.9	29.8	26.1	99	99	99	99
1975	4.5	99	12.7	19.6	25.9	28.41	28.1	28	25.5	20.3	11.31	9.3	99
1976	7.2	8.5	11.9	19.4	99	29.3	30.3	28.1	99	21.1	99	8.4	99
1977	99	99	99	21.1	25.3	28.9	30.3	29.1	25.5	22.6	15.2	10.4	99
1978	99	7.1	11.7	19.8	27.3	31.1	27	29.5	26	20.4	13.5	8.6	99
1979	99	7.7	10	99	99	30.3	30.7	28.1	25.5	19.7	12.7	6.9	99
1980	5.3	8.1	11.1	21.1	31.51	30	30.1	29.5	25.9	20.4	13.1	8.9	19.6
1981	5.5	99	13.6	22.2	25.5	29.5	28.8	28.9	26.3	19.3	13.6	9.1	99
1982	5.9	4.5	10.3	19.4	23.3	99	30.9	28.1	22.9	19.9	13.6	6.5	99
1983	6.4	6.7	11.7	16.7	25.5	29.5	29.3	28.1	26.9	19.8	14.4	7.1	18.5
1984	6.1	6.1	16.8	20.5	27	31.8	28.6	28.3	25.3	18.5	14.6	8.1	19.3
1985	5.8	11.3	16.1	19.1	25.8	30.1	29.6	28.8	26.3	18.6	13.1	7.1	19.3
1986	5.8	7.1	11.1	20.5	25	29.8	29.1	27.5	25.6	21	13.1	6.5	18.5
1987	7.3	8.6	12.3	19.8	22.1	29.1	30.3	29.8	28.3	20	15.5	9.6	19.4
1988	8.3	11.3	14.8	22.3	27.6	29.3	29.8	28.8	27.2	20.6	13.1	8.8	20.2
1989	4.6	5.8	8.01	17.3	24.1	28	25.31	26.1	25.3	20.5	13.1	7.8	17.2
1990	6.1	7.3	10.8	19.3	99	99	99	99	27.8	22.3	99	8.5	99
1991	5.7	7.3	99	18.4	23.7	29.4	31.5	30.1	27	19.3	13.3	10.4	99
1992	7	8.8	12.9	16.2	23.2	29.8	27.7	27.9	24.8	19.5	13.5	9.4	18.4
1993	4.01	10.8	11.5	18.9	26.6	30.3	29.3	30.3	27.2	19.9	99	99	99
